id,lat,lon
0,38.737235,-9.387461
1,38.74494,-9.327972
2536,38.726699829,-9.468640327
3057,38.723899841,-9.422960281
3058,38.724498749,-9.424940109
3059,38.730998993,-9.439339638
3060,38.734199524,-9.438949585
3061,38.735401154,-9.442410469
3062,38.735801697,-9.439669609
3063,38.743900299,-9.435529709
3064,38.751998901,-9.43887043
3065,38.75120163,-9.441470146
3066,38.751701355,-9.447239876
3067,38.753700256,-9.446550369
3068,38.752601624,-9.452429771
3070,38.752399445,-9.448559761
3083,38.732601166,-9.443229675
3088,38.761299133,-9.469659805
3090,38.750099182,-9.437430382
3100,38.73279953,-9.437600136
3121,38.731601715,-9.442959785
3127,38.753101349,-9.449799538
3636,38.720298767,-9.43476963
3637,38.733001709,-9.439579964
3638,38.734600067,-9.454380035
3639,38.733501434,-9.450090408
3640,38.730499268,-9.445119858
3641,38.729801178,-9.446980476
3642,38.728599548,-9.449299812
3643,38.727100372,-9.450070381
3644,38.725200653,-9.444709778
3645,38.712299347,-9.444410324
3646,38.717601776,-9.443490028
3647,38.71490097,-9.447199821
3648,38.716098785,-9.45263958
3649,38.720298767,-9.462949753
3650,38.732398987,-9.467510223
3651,38.721599579,-9.466259956
3652,38.715099335,-9.463190079
3653,38.708999634,-9.447230339
3654,38.711799622,-9.446960449
3661,38.707199097,-9.449270248
3663,38.706001282,-9.453519821
3675,38.721401215,-9.465310097
3688,38.719398499,-9.446660042
3709,38.705200195,-9.447270393
3710,38.72700119,-9.44742012
3717,38.727600098,-9.444660187
3720,38.732601166,-9.452320099
3721,38.715999603,-9.441789627
3727,38.698200226,-9.448829651
3731,38.706699371,-9.445730209
3740,38.721298218,-9.440190315
3743,38.711399078,-9.45083046
3744,38.713500977,-9.451950073
3748,38.71680069,-9.454350471
3751,38.706001282,-9.444829941
6370,38.727401733,-9.446660042
6371,38.716598511,-9.437190056
6393,38.716598511,-9.461569786
6396,38.710998535,-9.451939583
6408,38.730800629,-9.437029839
6419,38.725498199,-9.423270226
6444,38.752239227,-9.456148148
6450,38.715000153,-9.446100235
6488,38.723922729,-9.447699547
6515,38.729175568,-9.452020645
6518,38.729000092,-9.441740036
6535,38.702365875,-9.448616982
6545,38.725437164,-9.451052666
6550,38.709709167,-9.449337006
6559,38.755901337,-9.447030067
6592,38.753299713,-9.441430092
10684,38.7409149,-9.4510734
10698,38.7190326,-9.4440744
